feature,importance,stddev
symbol,0.00076,0.001178
financial_sector_return_60d,0.00036,0.000713
volatility_20d,0.00032,0.000610
atr_normalized_lag1,0.00028,0.000303
price_above_ma200_pct,0.00020,0.000566
atr_ratio_10d,0.00020,0.000141
stock_vs_spy_ratio,0.00020,0.000469
volatility_trend,0.00020,0.000283
close,0.00016,0.000167
natr_percentile_20d,0.00016,0.000167
ema_slow_lag1,0.00012,0.000303
ema_fast_lag5,0.00012,0.000110
spy_rsi_lag3,0.00012,0.000502
atr_normalized_lag5,0.00012,0.000390
volatility_rank_20d,0.00012,0.001026
spy_rsi,0.00012,0.000642
rsi_vs_spy_lag3,0.00012,0.000228
spy_rsi_lag5,0.00008,0.000522
spy_return_5d,0.00004,0.000219
insider_value_unusual_80,0.00004,0.000089
plus_dm_smooth,0.00004,0.000297
financial_sector_return_20d,0.00004,0.000167
macd_lag3,0.00004,0.000167
macd_lag2,0.00004,0.000089
bb_width_lag3,0.00004,0.000089
ma_50_above_200,0.00004,0.000654
adx,0.00004,0.000089
cluster_buying_30d,0.00004,0.000089
stock_vs_spy_5d_lag2,0.00004,0.000089
volatility_expansion,0.00004,0.000167
