iter	Logloss
0	0.6915873163
1	0.6900768466
2	0.688575851
3	0.687133195
4	0.6856763523
5	0.684274
6	0.6828978493
7	0.6815790547
8	0.6802677006
9	0.6789321027
10	0.6776525127
11	0.6764356499
12	0.6752679597
13	0.6740912004
14	0.6729409943
15	0.6718159707
16	0.6707241664
17	0.6696496504
18	0.668600139
19	0.6675762952
20	0.6665678128
21	0.6655737084
22	0.6646163298
23	0.6637194803
24	0.662777659
25	0.6618559873
26	0.6609887169
27	0.6601330032
28	0.6593083994
29	0.6584901014
30	0.6576899193
31	0.6568952418
32	0.656156492
33	0.65541857
34	0.6546675293
35	0.6539365848
36	0.6532479999
37	0.6525775622
38	0.651915397
39	0.6512672226
40	0.6506264753
41	0.6500099271
42	0.6493846613
43	0.6487862291
44	0.6481798981
45	0.6475996798
46	0.6470314542
47	0.6465094775
48	0.6459697275
49	0.6454373823
50	0.644875311
51	0.6443725762
52	0.6438443517
53	0.6433481405
54	0.6428818912
55	0.6424205904
56	0.6419691018
57	0.6415302645
58	0.6410828388
59	0.6406220496
60	0.6402055069
61	0.6397794456
62	0.6393428379
63	0.6389335842
64	0.6385708866
65	0.6381840121
66	0.6378026377
67	0.6374432197
68	0.6370862003
69	0.636744253
70	0.6363845235
71	0.6360438978
72	0.6357096669
73	0.6353843003
74	0.6350664275
75	0.634766782
76	0.6344645199
77	0.6341331547
78	0.633805394
79	0.6334996342
80	0.6332153901
81	0.6329591766
82	0.6326817945
83	0.6324142958
84	0.6321550162
85	0.6318796009
86	0.6315931363
87	0.6313549899
88	0.6311105333
89	0.6308418108
90	0.630604986
91	0.6304025019
92	0.6301850346
93	0.6299686086
94	0.6297539982
95	0.6295491912
96	0.6293208214
97	0.6291057882
98	0.6289022361
99	0.6286826639
100	0.6284797259
101	0.6282645192
102	0.6280780596
103	0.6279009182
104	0.6276861565
105	0.6275055086
106	0.6273318471
107	0.6271662891
108	0.6269864466
109	0.6268422798
110	0.6266599231
111	0.62653834
112	0.6263571714
113	0.6261744186
114	0.6260277643
115	0.6258798149
116	0.6257170872
117	0.6255722083
118	0.6254142554
119	0.625262528
120	0.6251038542
121	0.6249506361
122	0.6247985394
123	0.6246421395
124	0.6244982664
125	0.6243573347
126	0.6242451901
127	0.624116011
128	0.62395428
129	0.6238243087
130	0.6237133345
131	0.6235788286
132	0.6234522883
133	0.6233252095
134	0.6231945618
135	0.6230642523
136	0.6229631437
137	0.6228320421
138	0.6227093688
139	0.6225884488
140	0.6224751695
141	0.6223444106
142	0.6222168912
143	0.6221212028
144	0.621999148
145	0.6218806266
146	0.621791533
147	0.6216882395
148	0.6215563636
149	0.6214423812
150	0.6213525934
151	0.6212465854
152	0.6211433809
153	0.6210710594
154	0.6209633515
155	0.6208561553
156	0.6207483228
157	0.6206379671
