iter	Passed	Remaining
0	10	10377
1	19	9881
2	29	9716
3	39	9845
4	48	9715
5	59	9840
6	68	9753
7	79	9808
8	88	9780
9	98	9742
10	107	9702
11	118	9749
12	127	9710
13	137	9680
14	147	9686
15	157	9681
16	166	9619
17	176	9631
18	186	9606
19	196	9615
20	206	9618
21	216	9609
22	225	9590
23	235	9577
24	245	9561
25	254	9544
26	264	9541
27	274	9518
28	284	9516
29	292	9469
30	301	9426
31	310	9394
32	320	9380
33	329	9355
34	338	9324
35	347	9301
36	356	9284
37	365	9256
38	373	9215
39	383	9204
40	393	9199
41	402	9185
42	411	9156
43	419	9119
44	428	9098
45	438	9085
46	448	9085
47	457	9071
48	466	9059
49	476	9047
50	485	9042
51	495	9032
52	504	9006
53	513	9003
54	524	9006
55	534	9002
56	543	8984
57	552	8972
58	561	8953
59	570	8934
60	580	8940
61	590	8934
62	600	8926
63	608	8905
64	618	8892
65	628	8892
66	638	8886
67	646	8865
68	656	8854
69	665	8845
70	675	8842
71	684	8824
72	695	8825
73	703	8802
74	712	8786
75	721	8775
76	731	8768
77	741	8761
78	750	8754
79	760	8740
80	769	8735
81	778	8718
82	787	8704
83	797	8697
84	806	8678
85	815	8669
86	825	8660
87	834	8649
88	843	8633
89	853	8625
90	862	8614
91	871	8600
92	881	8594
93	890	8584
94	900	8577
95	910	8570
96	919	8563
97	929	8554
98	939	8547
99	947	8530
100	957	8525
101	967	8520
102	976	8507
103	986	8501
104	997	8499
105	1007	8495
106	1016	8484
107	1026	8474
108	1034	8456
109	1044	8452
110	1054	8448
111	1064	8440
112	1074	8435
113	1084	8430
114	1094	8419
115	1103	8407
116	1113	8404
117	1123	8399
118	1133	8388
119	1141	8372
120	1150	8361
121	1161	8356
122	1171	8349
123	1180	8340
124	1189	8327
125	1199	8323
126	1209	8313
127	1218	8298
128	1227	8287
129	1237	8283
130	1247	8275
131	1256	8260
132	1265	8249
133	1275	8243
134	1284	8229
135	1294	8225
136	1303	8212
137	1312	8201
138	1321	8185
139	1330	8175
140	1340	8167
141	1349	8156
142	1359	8149
143	1370	8144
144	1379	8135
145	1388	8123
146	1398	8117
147	1408	8108
148	1418	8100
149	1427	8087
150	1436	8076
151	1445	8064
152	1454	8052
153	1464	8044
154	1473	8034
155	1483	8026
156	1493	8018
157	1503	8014
158	1513	8005
159	1523	7997
160	1531	7980
161	1540	7970
162	1551	7965
163	1560	7953
164	1569	7941
165	1578	7932
166	1588	7923
167	1597	7909
168	1606	7897
169	1615	7888
170	1625	7882
171	1635	7872
172	1644	7862
173	1654	7852
174	1664	7845
175	1674	7839
176	1683	7828
177	1693	7819
178	1702	7809
179	1711	7799
180	1721	7790
181	1731	7781
182	1741	7773
183	1750	7762
184	1761	7758
185	1770	7749
186	1779	7736
187	1789	7729
188	1799	7721
189	1808	7711
190	1817	7698
191	1826	7688
192	1836	7678
193	1845	7666
194	1855	7658
195	1863	7643
196	1872	7633
197	1882	7623
198	1892	7616
199	1901	7607
200	1912	7603
201	1922	7595
202	1932	7586
203	1942	7580
204	1952	7571
205	1962	7564
206	1972	7555
207	1981	7546
208	1991	7538
209	2001	7530
210	2011	7520
211	2020	7509
212	2030	7501
213	2039	7491
